nr,name,status,return_type,param_count,param1,param2,param3,param4,param5,param6
56,clone,ok,TLINT,5,TLUINT,TLUINT,TPTR,TPTR,TLUINT,
57,fork,ok,TLINT,0,,,,,,
58,vfork,ok,TLINT,0,,,,,,
59,execve,ok,TLINT,3,TSTR,TPTR,TASTR,,,
60,exit,ok,TLINT,1,TINT,,,,,
61,wait4,ok,TLINT,4,TINT,TPTR,TINT,TPTR,,
62,kill,ok,TLINT,2,TINT,TINT,,,,
63,uname,ok,TLINT,1,TPTR,,,,,
64,semget,ok,TLINT,3,TINT,TINT,TINT,,,
65,semop,ok,TLINT,3,TINT,TPTR,TUINT,,,
66,semctl,ok,TLINT,4,TINT,TINT,TINT,TLUINT,,
67,shmdt,ok,TLINT,1,TPTR,,,,,
68,msgget,ok,TLINT,2,TINT,TINT,,,,
69,msgsnd,ok,TLINT,4,TINT,TPTR,TLUINT,TINT,,
70,msgrcv,ok,TLINT,5,TINT,TPTR,TLUINT,TLINT,TINT,
71,msgctl,ok,TLINT,3,TINT,TINT,TPTR,,,
72,fcntl,ok,TLINT,3,TUINT,TUINT,TLUINT,,,
73,flock,ok,TLINT,2,TUINT,TUINT,,,,
74,fsync,ok,TLINT,1,TUINT,,,,,
75,fdatasync,ok,TLINT,1,TUINT,,,,,
76,truncate,ok,TLINT,2,TSTR,TLINT,,,,
77,ftruncate,ok,TLINT,2,TUINT,TLUINT,,,,
78,getdents,ok,TLINT,3,TUINT,TPTR,TUINT,,,
79,getcwd,ok,TLINT,2,TWSTR,TLUINT,,,,
80,chdir,ok,TLINT,1,TSTR,,,,,
81,fchdir,ok,TLINT,1,TUINT,,,,,
82,rename,ok,TLINT,2,TSTR,TSTR,,,,
83,mkdir,ok,TLINT,2,TSTR,TUSHRT,,,,
84,rmdir,ok,TLINT,1,TSTR,,,,,
85,creat,ok,TLINT,2,TSTR,TUSHRT,,,,
86,link,ok,TLINT,2,TSTR,TSTR,,,,
87,unlink,ok,TLINT,1,TSTR,,,,,
88,symlink,ok,TLINT,2,TSTR,TSTR,,,,
89,readlink,ok,TLINT,3,TSTR,TWSCHAR,TINT,,,
90,chmod,ok,TLINT,2,TSTR,TUSHRT,,,,
91,fchmod,ok,TLINT,2,TUINT,TUSHRT,,,,
92,chown,ok,TLINT,3,TSTR,TINT,TINT,,,
93,fchown,ok,TLINT,3,TUINT,TINT,TINT,,,
94,lchown,ok,TLINT,3,TSTR,TINT,TINT,,,
95,umask,ok,TLINT,1,TINT,,,,,
96,gettimeofday,ok,TLINT,2,TPTR,TPTR,,,,
97,getrlimit,ok,TLINT,2,TUINT,TPTR,,,,
98,getrusage,ok,TLINT,2,TINT,TPTR,,,,
99,sysinfo,ok,TLINT,1,TPTR,,,,,
100,times,ok,TLINT,1,TPTR,,,,,
101,ptrace,ok,TLINT,4,TLINT,TLINT,TLUINT,TLUINT,,
102,getuid,ok,TLINT,0,,,,,,
103,syslog,ok,TLINT,3,TINT,TPTR,TINT,,,
104,getgid,ok,TLINT,0,,,,,,
105,setuid,ok,TLINT,1,TINT,,,,,
106,setgid,ok,TLINT,1,TINT,,,,,
107,geteuid,ok,TLINT,0,,,,,,
108,getegid,ok,TLINT,0,,,,,,
109,setpgid,ok,TLINT,2,TINT,TINT,,,,
110,getppid,ok,TLINT,0,,,,,,
111,getpgrp,ok,TLINT,0,,,,,,
112,setsid,ok,TLINT,0,,,,,,
113,setreuid,ok,TLINT,2,TINT,TINT,,,,
114,setregid,ok,TLINT,2,TINT,TINT,,,,
115,getgroups,ok,TLINT,2,TINT,TPTR,,,,
116,setgroups,ok,TLINT,2,TINT,TPTR,,,,
117,setresuid,ok,TLINT,3,TINT,TINT,TINT,,,
118,getresuid,ok,TLINT,3,TPTR,TPTR,TPTR,,,
119,setresgid,ok,TLINT,3,TINT,TINT,TINT,,,
120,getresgid,ok,TLINT,3,TPTR,TPTR,TPTR,,,
121,getpgid,ok,TLINT,1,TINT,,,,,
122,setfsuid,ok,TLINT,1,TINT,,,,,
123,setfsgid,ok,TLINT,1,TINT,,,,,
124,getsid,ok,TLINT,1,TINT,,,,,
125,capget,ok,TLINT,2,TPTR,TPTR,,,,
126,capset,ok,TLINT,2,TPTR,TPTR,,,,
127,rt_sigpending,ok,TLINT,2,TPTR,TLUINT,,,,
128,rt_sigtimedwait,ok,TLINT,4,TPTR,TPTR,TPTR,TLUINT,,
129,rt_sigqueueinfo,ok,TLINT,3,TINT,TINT,TPTR,,,
130,rt_sigsuspend,ok,TLINT,2,TPTR,TLUINT,,,,
131,sigaltstack,ok,TLINT,2,TPTR,TPTR,,,,
132,utime,ok,TLINT,2,TPTR,TPTR,,,,
133,mknod,ok,TLINT,3,TSTR,TUSHRT,TUINT,,,
134,uselib,todo,,,,,,,,
135,personality,ok,TLINT,1,TUINT,,,,,
136,ustat,ok,TLINT,2,TUINT,TPTR,,,,
137,statfs,ok,TLINT,2,TSTR,TPTR,,,,
138,fstatfs,ok,TLINT,2,TUINT,TPTR,,,,
139,sysfs,ok,TLINT,3,TINT,TLUINT,TLUINT,,,
